,Fecha,Frecuencia,anio,mes,dia
1078,13-dic,153,2018,dic,13
1079,14-dic,177,2018,dic,14
1080,15-dic,169,2018,dic,15
1081,16-dic,107,2018,dic,16
1082,17-dic,164,2018,dic,17
1083,18-dic,188,2018,dic,18
1084,19-dic,181,2018,dic,19
1085,20-dic,164,2018,dic,20
1086,21-dic,178,2018,dic,21
1087,22-dic,142,2018,dic,22
1088,23-dic,135,2018,dic,23
1089,24-dic,123,2018,dic,24
1090,25-dic,49,2018,dic,25
1091,26-dic,136,2018,dic,26
1092,27-dic,139,2018,dic,27
1093,28-dic,139,2018,dic,28
1094,29-dic,141,2018,dic,29
1095,30-dic,118,2018,dic,30
1096,31-dic,113,2018,dic,31
