time,forecast
1217,-2.511201814
1218,8.507027073
1219,14.34892522
1220,-0.913866301
1221,-7.650229281
1222,2.313585183
1223,8.752571128
1224,-11.85663134
1225,6.4338425
1226,-3.435123117
1227,-2.938309616
1228,7.905354168
1229,-3.912830179
1230,-0.032178236
1231,1.301252232
1232,-9.66792214
1233,15.48187855
1234,-6.389483449
1235,-5.016479704
1236,9.335090106
1237,-3.048798516
1238,11.72570731
1239,-6.773084819
1240,5.094070905
1241,1.117437097
1242,4.751035186
1243,-1.559531572
1244,-13.56178699
1245,5.4740323
1246,-7.149063897
1247,-4.860318949
1248,5.61375608
1249,-4.194073967
1250,-3.655628521
1251,-1.073819389
1252,0.464205809
1253,2.512088472
1254,-2.189937013
1255,-9.567654484
1256,-3.541933263
1257,-4.792841127
1258,0.566619205
1259,12.24041325
1260,-9.80933362
1261,-0.630623367
1262,3.805459166
1263,-7.926497104
1264,9.038221379
1265,6.295204647
1266,-1.604645919
1267,7.085439177
1268,4.813511596
1269,0.738418734
1270,14.06112168
1271,-2.467474739
1272,-2.009571284
1273,-4.492687935
1274,11.45837479
1275,-7.903887042
1276,4.404036335
1277,-7.279764404
1278,0.452633104
1279,6.479744174
1280,-11.91457174
1281,-12.17525942
1282,-4.151734919
1283,-0.602298873
1284,2.002598566
1285,6.764911698
1286,-0.98029881
1287,-2.907048146
1288,-8.323654508
1289,-4.314663796
1290,-1.984693164
1291,7.660494378
1292,-8.005226672
1293,2.353842563
1294,-1.079137218
1295,9.049648153
1296,-5.616128766
1297,-4.284559384
1298,0.410540196
1299,-2.575128603
1300,7.363122077
1301,-2.786563762
1302,4.812565387
1303,-7.316848023
1304,-0.696838582
1305,-1.028931143
1306,7.644191451
1307,-3.702390884
1308,11.05449156
1309,-2.806116826
1310,4.55997374
1311,-2.992210273
1312,4.320579014
1313,8.789400854
1314,7.230213277
1315,-11.21585319
1316,-5.203489251
1317,16.77244258
1318,0.997209989
1319,6.449914314
1320,4.380730668
1321,18.67326401
1322,9.345631733
1323,-9.130602084
1324,5.518395568
1325,7.330983372
1326,1.101479813
1327,11.91223478
1328,-2.035333393
1329,3.84155937
1330,1.893408044
1331,-3.253763421
1332,-2.366956114
1333,-0.839002785
1334,-2.961126025
1335,10.44198851
1336,-4.018131878
1337,1.136031312
1338,-12.51697163
1339,-2.452205364
1340,12.30023262
